ID,REFERENCE_ID,REMITTER_ID,AMOUNT,STATUS_CODE,OPERATION_STATUS,AMOUNT_PAID,CURRENCY_AMOUNT_PAID
103810,r15d00000000144,DOLEUSTX*R8,15.000,7,RECONCILED,15.000,USD
103811,r15d00000000143,DOLEUSTX*R8,14.000,7,RECONCILED,14.000,USD
103812,r15d00000000149,DOLEUSTX*R8,20.000,7,RECONCILED,20.000,USD
103813,r15d00000000152,DOLEUSTX*R8,23.000,7,RECONCILED,23.000,USD
103814,r15d00000000153,DOLEUSTX*R8,24.000,7,RECONCILED,24.000,USD
103815,r15d00000000150,DOLEUSTX*R8,21.000,7,RECONCILED,21.000,USD
103816,r15d00000000156,DOLEUSTX*R8,27.000,7,RECONCILED,27.000,USD
103817,r15d00000000154,DOLEUSTX*R8,25.000,7,RECONCILED,25.000,USD
103818,r15d00000000147,DOLEUSTX*R8,18.000,7,RECONCILED,18.000,USD
103819,r15d00000000151,DOLEUSTX*R8,22.000,7,RECONCILED,22.000,USD
103820,r15d00000000159,DOLEUSTX*R8,30.000,7,RECONCILED,30.000,USD
103821,r15d00000000155,DOLEUSTX*R8,26.000,7,RECONCILED,26.000,USD
103822,r15d00000000157,DOLEUSTX*R8,28.000,7,RECONCILED,28.000,USD
103823,r15d00000000161,DOLEUSTX*R8,32.000,7,RECONCILED,32.000,USD
103824,r15d00000000158,DOLEUSTX*R8,29.000,7,RECONCILED,29.000,USD
103825,r15d00000000164,DOLEUSTX*R8,35.000,7,RECONCILED,35.000,USD
103826,r15d00000000167,DOLEUSTX*R8,38.000,7,RECONCILED,38.000,USD
103827,r15d00000000163,DOLEUSTX*R8,34.000,7,RECONCILED,34.000,USD
103828,r15d00000000160,DOLEUSTX*R8,31.000,7,RECONCILED,31.000,USD
103829,r15d00000000170,DOLEUSTX*R8,41.000,7,RECONCILED,41.000,USD
103830,r15d00000000165,DOLEUSTX*R8,36.000,7,RECONCILED,36.000,USD
103831,r15d00000000172,DOLEUSTX*R8,43.000,7,RECONCILED,43.000,USD
103832,r15d00000000162,DOLEUSTX*R8,33.000,7,RECONCILED,33.000,USD
103833,r15d00000000171,DOLEUSTX*R8,42.000,7,RECONCILED,42.000,USD
103834,r15d00000000166,DOLEUSTX*R8,37.000,7,RECONCILED,37.000,USD
103835,r15d00000000173,DOLEUSTX*R8,44.000,7,RECONCILED,44.000,USD
103836,r15d00000000169,DOLEUSTX*R8,40.000,7,RECONCILED,40.000,USD
103837,r15d00000000176,DOLEUSTX*R8,47.000,7,RECONCILED,47.000,USD
103838,r15d00000000174,DOLEUSTX*R8,45.000,7,RECONCILED,45.000,USD
103839,r15d00000000178,DOLEUSTX*R8,49.000,7,RECONCILED,49.000,USD
103840,r15d00000000181,DOLEUSTX*R8,52.000,7,RECONCILED,52.000,USD
103841,r15d00000000186,DOLEUSTX*R8,57.000,7,RECONCILED,57.000,USD
103842,r15d00000000168,DOLEUSTX*R8,39.000,7,RECONCILED,39.000,USD
103843,r15d00000000183,DOLEUSTX*R8,54.000,7,RECONCILED,54.000,USD
103844,r15d00000000175,DOLEUSTX*R8,46.000,7,RECONCILED,46.000,USD
103845,r15d00000000177,DOLEUSTX*R8,48.000,7,RECONCILED,48.000,USD
103846,r15d00000000180,DOLEUSTX*R8,51.000,7,RECONCILED,51.000,USD
103847,r15d00000000185,DOLEUSTX*R8,56.000,7,RECONCILED,56.000,USD
103848,r15d00000000179,DOLEUSTX*R8,50.000,7,RECONCILED,50.000,USD
103849,r15d00000000184,DOLEUSTX*R8,55.000,7,RECONCILED,55.000,USD
103850,r15d00000000189,DOLEUSTX*R8,60.000,7,RECONCILED,60.000,USD
103851,r15d00000000182,DOLEUSTX*R8,53.000,7,RECONCILED,53.000,USD
103852,r15d00000000194,DOLEUSTX*R8,65.000,7,RECONCILED,65.000,USD
103853,r15d00000000196,DOLEUSTX*R8,67.000,7,RECONCILED,67.000,USD
103854,r15d00000000188,DOLEUSTX*R8,59.000,7,RECONCILED,59.000,USD
103855,r15d00000000200,DOLEUSTX*R8,71.000,7,RECONCILED,71.000,USD
103856,r15d00000000192,DOLEUSTX*R8,63.000,7,RECONCILED,63.000,USD
103857,r15d00000000198,DOLEUSTX*R8,69.000,7,RECONCILED,69.000,USD
103858,r15d00000000187,DOLEUSTX*R8,58.000,7,RECONCILED,58.000,USD
103859,r15d00000000191,DOLEUSTX*R8,62.000,7,RECONCILED,62.000,USD
103860,r15d00000000206,DOLEUSTX*R8,77.000,7,RECONCILED,77.000,USD
103861,r15d00000000208,DOLEUSTX*R8,79.000,7,RECONCILED,79.000,USD
103862,r15d00000000190,DOLEUSTX*R8,61.000,7,RECONCILED,61.000,USD
103863,r15d00000000195,DOLEUSTX*R8,66.000,7,RECONCILED,66.000,USD
103864,r15d00000000197,DOLEUSTX*R8,68.000,7,RECONCILED,68.000,USD
103865,r15d00000000193,DOLEUSTX*R8,64.000,7,RECONCILED,64.000,USD
103866,r15d00000000202,DOLEUSTX*R8,73.000,7,RECONCILED,73.000,USD
103867,r15d00000000199,DOLEUSTX*R8,70.000,7,RECONCILED,70.000,USD
103868,r15d00000000207,DOLEUSTX*R8,78.000,7,RECONCILED,78.000,USD
103869,r15d00000000211,DOLEUSTX*R8,82.000,7,RECONCILED,82.000,USD
103870,r15d00000000216,DOLEUSTX*R8,87.000,7,RECONCILED,87.000,USD
103871,r15d00000000212,DOLEUSTX*R8,83.000,7,RECONCILED,83.000,USD
103872,r15d00000000203,DOLEUSTX*R8,74.000,7,RECONCILED,74.000,USD
103873,r15d00000000214,DOLEUSTX*R8,85.000,7,RECONCILED,85.000,USD
103874,r15d00000000222,DOLEUSTX*R8,93.000,7,RECONCILED,93.000,USD
103875,r15d00000000219,DOLEUSTX*R8,90.000,7,RECONCILED,90.000,USD
103876,r15d00000000224,DOLEUSTX*R8,95.000,7,RECONCILED,95.000,USD
103877,r15d00000000223,DOLEUSTX*R8,94.000,7,RECONCILED,94.000,USD
103878,r15d00000000226,DOLEUSTX*R8,97.000,7,RECONCILED,97.000,USD
103879,r15d00000000204,DOLEUSTX*R8,75.000,7,RECONCILED,75.000,USD
103880,r15d00000000231,DOLEUSTX*R8,102.000,7,RECONCILED,102.000,USD
103881,r15d00000000205,DOLEUSTX*R8,76.000,7,RECONCILED,76.000,USD
103882,r15d00000000210,DOLEUSTX*R8,81.000,7,RECONCILED,81.000,USD
103883,r15d00000000234,DOLEUSTX*R8,105.000,7,RECONCILED,105.000,USD
103884,r15d00000000209,DOLEUSTX*R8,80.000,7,RECONCILED,80.000,USD
103885,r15d00000000213,DOLEUSTX*R8,84.000,7,RECONCILED,84.000,USD
103886,r15d00000000233,DOLEUSTX*R8,104.000,7,RECONCILED,104.000,USD
103887,r15d00000000217,DOLEUSTX*R8,88.000,7,RECONCILED,88.000,USD
103888,r15d00000000239,DOLEUSTX*R8,110.000,7,RECONCILED,110.000,USD
103889,r15d00000000215,DOLEUSTX*R8,86.000,7,RECONCILED,86.000,USD
103890,r15d00000000221,DOLEUSTX*R8,92.000,7,RECONCILED,92.000,USD
103891,r15d00000000225,DOLEUSTX*R8,96.000,7,RECONCILED,96.000,USD
103892,r15d00000000236,DOLEUSTX*R8,107.000,7,RECONCILED,107.000,USD
103893,r15d00000000241,DOLEUSTX*R8,112.000,7,RECONCILED,112.000,USD
103894,r15d00000000242,DOLEUSTX*R8,113.000,7,RECONCILED,113.000,USD
103895,r15d00000000227,DOLEUSTX*R8,98.000,7,RECONCILED,98.000,USD
103896,r15d00000000243,DOLEUSTX*R8,114.000,7,RECONCILED,114.000,USD
103897,r15d00000000245,DOLEUSTX*R8,116.000,7,RECONCILED,116.000,USD
103898,r15d00000000249,DOLEUSTX*R8,120.000,7,RECONCILED,120.000,USD
103899,r15d00000000230,DOLEUSTX*R8,101.000,7,RECONCILED,101.000,USD
103900,r15d00000000220,DOLEUSTX*R8,91.000,7,RECONCILED,91.000,USD
103901,r15d00000000251,DOLEUSTX*R8,122.000,7,RECONCILED,122.000,USD
103902,r15d00000000235,DOLEUSTX*R8,106.000,7,RECONCILED,106.000,USD
103903,r15d00000000228,DOLEUSTX*R8,99.000,7,RECONCILED,99.000,USD
103904,r15d00000000238,DOLEUSTX*R8,109.000,7,RECONCILED,109.000,USD
103905,r15d00000000252,DOLEUSTX*R8,123.000,7,RECONCILED,123.000,USD
103906,r15d00000000256,DOLEUSTX*R8,127.000,7,RECONCILED,127.000,USD
103907,r15d00000000255,DOLEUSTX*R8,126.000,7,RECONCILED,126.000,USD
103908,r15d00000000244,DOLEUSTX*R8,115.000,7,RECONCILED,115.000,USD
103909,r15d00000000247,DOLEUSTX*R8,118.000,7,RECONCILED,118.000,USD
103910,r15d00000000258,DOLEUSTX*R8,129.000,7,RECONCILED,129.000,USD
103911,r15d00000000257,DOLEUSTX*R8,128.000,7,RECONCILED,128.000,USD
103912,r15d00000000250,DOLEUSTX*R8,121.000,7,RECONCILED,121.000,USD
103913,r15d00000000261,DOLEUSTX*R8,132.000,7,RECONCILED,132.000,USD
103914,r15d00000000229,DOLEUSTX*R8,100.000,7,RECONCILED,100.000,USD
103915,r15d00000000232,DOLEUSTX*R8,103.000,7,RECONCILED,103.000,USD
103916,r15d00000000237,DOLEUSTX*R8,108.000,7,RECONCILED,108.000,USD
103917,r15d00000000263,DOLEUSTX*R8,134.000,7,RECONCILED,134.000,USD
103918,r15d00000000254,DOLEUSTX*R8,125.000,7,RECONCILED,125.000,USD
103919,r15d00000000269,DOLEUSTX*R8,140.000,7,RECONCILED,140.000,USD
103920,r15d00000000270,DOLEUSTX*R8,141.000,7,RECONCILED,141.000,USD
103921,r15d00000000259,DOLEUSTX*R8,130.000,7,RECONCILED,130.000,USD
103922,r15d00000000264,DOLEUSTX*R8,135.000,7,RECONCILED,135.000,USD
103923,r15d00000000273,DOLEUSTX*R8,144.000,7,RECONCILED,144.000,USD
103924,r15d00000000240,DOLEUSTX*R8,111.000,7,RECONCILED,111.000,USD
103925,r15d00000000274,DOLEUSTX*R8,145.000,7,RECONCILED,145.000,USD
103926,r15d00000000275,DOLEUSTX*R8,146.000,7,RECONCILED,146.000,USD
103927,r15d00000000246,DOLEUSTX*R8,117.000,7,RECONCILED,117.000,USD
103928,r15d00000000265,DOLEUSTX*R8,136.000,7,RECONCILED,136.000,USD
103929,r15d00000000248,DOLEUSTX*R8,119.000,7,RECONCILED,119.000,USD
103930,r15d00000000271,DOLEUSTX*R8,142.000,7,RECONCILED,142.000,USD
103931,r15d00000000279,DOLEUSTX*R8,150.000,7,RECONCILED,150.000,USD
103932,r15d00000000280,DOLEUSTX*R8,151.000,7,RECONCILED,151.000,USD
103933,r15d00000000253,DOLEUSTX*R8,124.000,7,RECONCILED,124.000,USD
103934,r15d00000000276,DOLEUSTX*R8,147.000,7,RECONCILED,147.000,USD
103935,r15d00000000282,DOLEUSTX*R8,153.000,7,RECONCILED,153.000,USD
103936,r15d00000000260,DOLEUSTX*R8,131.000,7,RECONCILED,131.000,USD
103937,r15d00000000283,DOLEUSTX*R8,154.000,7,RECONCILED,154.000,USD
103938,r15d00000000277,DOLEUSTX*R8,148.000,7,RECONCILED,148.000,USD
103939,r15d00000000262,DOLEUSTX*R8,133.000,7,RECONCILED,133.000,USD
103940,r15d00000000284,DOLEUSTX*R8,155.000,7,RECONCILED,155.000,USD
103941,r15d00000000285,DOLEUSTX*R8,156.000,7,RECONCILED,156.000,USD
103942,r15d00000000286,DOLEUSTX*R8,157.000,7,RECONCILED,157.000,USD
103943,r15d00000000289,DOLEUSTX*R8,160.000,7,RECONCILED,160.000,USD
103944,r15d00000000266,DOLEUSTX*R8,137.000,7,RECONCILED,137.000,USD
103945,r15d00000000288,DOLEUSTX*R8,159.000,7,RECONCILED,159.000,USD
103946,r15d00000000290,DOLEUSTX*R8,161.000,7,RECONCILED,161.000,USD
103947,r15d00000000293,DOLEUSTX*R8,164.000,7,RECONCILED,164.000,USD
103948,r15d00000000292,DOLEUSTX*R8,163.000,7,RECONCILED,163.000,USD
103949,r15d00000000268,DOLEUSTX*R8,139.000,7,RECONCILED,139.000,USD
103950,r15d00000000272,DOLEUSTX*R8,143.000,7,RECONCILED,143.000,USD
103951,r15d00000000278,DOLEUSTX*R8,149.000,7,RECONCILED,149.000,USD
103952,r15d00000000295,DOLEUSTX*R8,166.000,7,RECONCILED,166.000,USD
103953,r15d00000000297,DOLEUSTX*R8,168.000,7,RECONCILED,168.000,USD
103954,r15d00000000299,DOLEUSTX*R8,170.000,7,RECONCILED,170.000,USD
103955,r15d00000000300,DOLEUSTX*R8,171.000,7,RECONCILED,171.000,USD
103956,r15d00000000281,DOLEUSTX*R8,152.000,7,RECONCILED,152.000,USD
103957,r15d00000000301,DOLEUSTX*R8,172.000,7,RECONCILED,172.000,USD
103958,r15d00000000298,DOLEUSTX*R8,169.000,7,RECONCILED,169.000,USD
103959,r15d00000000267,DOLEUSTX*R8,138.000,7,RECONCILED,138.000,USD
103960,r15d00000000302,DOLEUSTX*R8,173.000,7,RECONCILED,173.000,USD
103961,r15d00000000287,DOLEUSTX*R8,158.000,7,RECONCILED,158.000,USD
103962,r15d00000000305,DOLEUSTX*R8,176.000,7,RECONCILED,176.000,USD
103963,r15d00000000304,DOLEUSTX*R8,175.000,7,RECONCILED,175.000,USD
103964,r15d00000000291,DOLEUSTX*R8,162.000,7,RECONCILED,162.000,USD
103965,r15d00000000306,DOLEUSTX*R8,177.000,7,RECONCILED,177.000,USD
103966,r15d00000000309,DOLEUSTX*R8,180.000,7,RECONCILED,180.000,USD
103967,r15d00000000310,DOLEUSTX*R8,181.000,7,RECONCILED,181.000,USD
103968,r15d00000000296,DOLEUSTX*R8,167.000,7,RECONCILED,167.000,USD
103969,r15d00000000308,DOLEUSTX*R8,179.000,7,RECONCILED,179.000,USD
103970,r15d00000000317,DOLEUSTX*R8,188.000,7,RECONCILED,188.000,USD
103971,r15d00000000314,DOLEUSTX*R8,185.000,7,RECONCILED,185.000,USD
103972,r15d00000000312,DOLEUSTX*R8,183.000,7,RECONCILED,183.000,USD
103973,r15d00000000294,DOLEUSTX*R8,165.000,7,RECONCILED,165.000,USD
103974,r15d00000000315,DOLEUSTX*R8,186.000,7,RECONCILED,186.000,USD
103975,r15d00000000321,DOLEUSTX*R8,192.000,7,RECONCILED,192.000,USD
103976,r15d00000000318,DOLEUSTX*R8,189.000,7,RECONCILED,189.000,USD
103977,r15d00000000316,DOLEUSTX*R8,187.000,7,RECONCILED,187.000,USD
103978,r15d00000000303,DOLEUSTX*R8,174.000,7,RECONCILED,174.000,USD
103979,r15d00000000307,DOLEUSTX*R8,178.000,7,RECONCILED,178.000,USD
103980,r15d00000000326,DOLEUSTX*R8,197.000,7,RECONCILED,197.000,USD
103981,r15d00000000322,DOLEUSTX*R8,193.000,7,RECONCILED,193.000,USD
103982,r15d00000000320,DOLEUSTX*R8,191.000,7,RECONCILED,191.000,USD
103983,r15d00000000324,DOLEUSTX*R8,195.000,7,RECONCILED,195.000,USD
103984,r15d00000000311,DOLEUSTX*R8,182.000,7,RECONCILED,182.000,USD
103985,r15d00000000331,DOLEUSTX*R8,202.000,7,RECONCILED,202.000,USD
103986,r15d00000000325,DOLEUSTX*R8,196.000,7,RECONCILED,196.000,USD
103987,r15d00000000313,DOLEUSTX*R8,184.000,7,RECONCILED,184.000,USD
103988,r15d00000000328,DOLEUSTX*R8,199.000,7,RECONCILED,199.000,USD
103989,r15d00000000329,DOLEUSTX*R8,200.000,7,RECONCILED,200.000,USD
103990,r15d00000000333,DOLEUSTX*R8,204.000,7,RECONCILED,204.000,USD
103991,r15d00000000332,DOLEUSTX*R8,203.000,7,RECONCILED,203.000,USD
103992,r15d00000000319,DOLEUSTX*R8,190.000,7,RECONCILED,190.000,USD
103993,r15d00000000335,DOLEUSTX*R8,206.000,7,RECONCILED,206.000,USD
103994,r15d00000000336,DOLEUSTX*R8,207.000,7,RECONCILED,207.000,USD
103995,r15d00000000323,DOLEUSTX*R8,194.000,7,RECONCILED,194.000,USD
103996,r15d00000000337,DOLEUSTX*R8,208.000,7,RECONCILED,208.000,USD
103997,r15d00000000339,DOLEUSTX*R8,210.000,7,RECONCILED,210.000,USD
103998,r15d00000000338,DOLEUSTX*R8,209.000,7,RECONCILED,209.000,USD
103999,r15d00000000327,DOLEUSTX*R8,198.000,7,RECONCILED,198.000,USD
104000,r15d00000000343,DOLEUSTX*R8,214.000,7,RECONCILED,214.000,USD
104001,r15d00000000330,DOLEUSTX*R8,201.000,7,RECONCILED,201.000,USD
104002,r15d00000000348,DOLEUSTX*R8,219.000,7,RECONCILED,219.000,USD
104003,r15d00000000344,DOLEUSTX*R8,215.000,7,RECONCILED,215.000,USD
104004,r15d00000000334,DOLEUSTX*R8,205.000,7,RECONCILED,205.000,USD
104005,r15d00000000350,DOLEUSTX*R8,221.000,7,RECONCILED,221.000,USD
104006,r15d00000000346,DOLEUSTX*R8,217.000,7,RECONCILED,217.000,USD
104007,r15d00000000341,DOLEUSTX*R8,212.000,7,RECONCILED,212.000,USD
104008,r15d00000000340,DOLEUSTX*R8,211.000,7,RECONCILED,211.000,USD
104009,r15d00000000354,DOLEUSTX*R8,225.000,7,RECONCILED,225.000,USD
104010,r15d00000000347,DOLEUSTX*R8,218.000,7,RECONCILED,218.000,USD
104011,r15d00000000353,DOLEUSTX*R8,224.000,7,RECONCILED,224.000,USD
104012,r15d00000000356,DOLEUSTX*R8,227.000,7,RECONCILED,227.000,USD
104013,r15d00000000349,DOLEUSTX*R8,220.000,7,RECONCILED,220.000,USD
104014,r15d00000000359,DOLEUSTX*R8,230.000,7,RECONCILED,230.000,USD
104015,r15d00000000351,DOLEUSTX*R8,222.000,7,RECONCILED,222.000,USD
104016,r15d00000000342,DOLEUSTX*R8,213.000,7,RECONCILED,213.000,USD
104017,r15d00000000357,DOLEUSTX*R8,228.000,7,RECONCILED,228.000,USD
104018,r15d00000000365,DOLEUSTX*R8,236.000,7,RECONCILED,236.000,USD
104019,r15d00000000345,DOLEUSTX*R8,216.000,7,RECONCILED,216.000,USD
104020,r15d00000000361,DOLEUSTX*R8,232.000,7,RECONCILED,232.000,USD
104021,r15d00000000352,DOLEUSTX*R8,223.000,7,RECONCILED,223.000,USD
104022,r15d00000000355,DOLEUSTX*R8,226.000,7,RECONCILED,226.000,USD
104023,r15d00000000363,DOLEUSTX*R8,234.000,7,RECONCILED,234.000,USD
104024,r15d00000000362,DOLEUSTX*R8,233.000,7,RECONCILED,233.000,USD
104025,r15d00000000370,DOLEUSTX*R8,241.000,7,RECONCILED,241.000,USD
104026,r15d00000000368,DOLEUSTX*R8,239.000,7,RECONCILED,239.000,USD
104027,r15d00000000358,DOLEUSTX*R8,229.000,7,RECONCILED,229.000,USD
104028,r15d00000000360,DOLEUSTX*R8,231.000,7,RECONCILED,231.000,USD
104029,r15d00000000377,DOLEUSTX*R8,248.000,7,RECONCILED,248.000,USD
104030,r15d00000000373,DOLEUSTX*R8,244.000,7,RECONCILED,244.000,USD
104031,r15d00000000364,DOLEUSTX*R8,235.000,7,RECONCILED,235.000,USD
104032,r15d00000000366,DOLEUSTX*R8,237.000,7,RECONCILED,237.000,USD
104033,r15d00000000382,DOLEUSTX*R8,253.000,7,RECONCILED,253.000,USD
104034,r15d00000000378,DOLEUSTX*R8,249.000,7,RECONCILED,249.000,USD
104035,r15d00000000381,DOLEUSTX*R8,252.000,7,RECONCILED,252.000,USD
104036,r15d00000000372,DOLEUSTX*R8,243.000,7,RECONCILED,243.000,USD
104037,r15d00000000367,DOLEUSTX*R8,238.000,7,RECONCILED,238.000,USD
104038,r15d00000000369,DOLEUSTX*R8,240.000,7,RECONCILED,240.000,USD
104039,r15d00000000374,DOLEUSTX*R8,245.000,7,RECONCILED,245.000,USD
104040,r15d00000000371,DOLEUSTX*R8,242.000,7,RECONCILED,242.000,USD
104041,r15d00000000384,DOLEUSTX*R8,255.000,7,RECONCILED,255.000,USD
