ID,REFERENCE_ID,AMOUNT,EXCHANGE_RATE,STATUS_CODE,STATUS_DESCRIPTION,OPERATION_STATUS,AMOUNT_PAID,CURRENCY_AMOUNT_PAID,PROCESS_NUMBER
103848,r15d00000000179,50.000,,7,IN PROGRESS,RECONCILED,50.000,USD,40162588
103849,r15d00000000184,55.000,,7,IN PROGRESS,RECONCILED,55.000,USD,49233680
103850,r15d00000000189,60.000,,7,IN PROGRESS,RECONCILED,60.000,USD,72304573
103851,r15d00000000182,53.000,,7,IN PROGRESS,RECONCILED,53.000,USD,42757740
103852,r15d00000000194,65.000,,7,IN PROGRESS,RECONCILED,65.000,USD,11490241
103853,r15d00000000196,67.000,,7,IN PROGRESS,RECONCILED,67.000,USD,32387770
103854,r15d00000000188,59.000,,7,IN PROGRESS,RECONCILED,59.000,USD,63449334
103855,r15d00000000200,71.000,,7,IN PROGRESS,RECONCILED,71.000,USD,27939985
103856,r15d00000000192,63.000,,7,IN PROGRESS,RECONCILED,63.000,USD,68727189
103857,r15d00000000198,69.000,,7,IN PROGRESS,RECONCILED,69.000,USD,44616528
103858,r15d00000000187,58.000,,7,IN PROGRESS,RECONCILED,58.000,USD,41180012
103859,r15d00000000191,62.000,,7,IN PROGRESS,RECONCILED,62.000,USD,39742944
103860,r15d00000000206,77.000,,7,IN PROGRESS,RECONCILED,77.000,USD,66061755
103861,r15d00000000208,79.000,,7,IN PROGRESS,RECONCILED,79.000,USD,19143638
103862,r15d00000000190,61.000,,7,IN PROGRESS,RECONCILED,61.000,USD,42410610
103863,r15d00000000195,66.000,,7,IN PROGRESS,RECONCILED,66.000,USD,95202455
103864,r15d00000000197,68.000,,7,IN PROGRESS,RECONCILED,68.000,USD,13023936
103865,r15d00000000193,64.000,,7,IN PROGRESS,RECONCILED,64.000,USD,94849700
103866,r15d00000000202,73.000,,7,IN PROGRESS,RECONCILED,73.000,USD,47133089
103867,r15d00000000199,70.000,,7,IN PROGRESS,RECONCILED,70.000,USD,31359825
103868,r15d00000000207,78.000,,7,IN PROGRESS,RECONCILED,78.000,USD,79573944
103869,r15d00000000211,82.000,,7,IN PROGRESS,RECONCILED,82.000,USD,43788404
103870,r15d00000000216,87.000,,7,IN PROGRESS,RECONCILED,87.000,USD,38929749
103871,r15d00000000212,83.000,,7,IN PROGRESS,RECONCILED,83.000,USD,98820980
103872,r15d00000000203,74.000,,7,IN PROGRESS,RECONCILED,74.000,USD,11248810
103873,r15d00000000214,85.000,,7,IN PROGRESS,RECONCILED,85.000,USD,82889002
103874,r15d00000000222,93.000,,7,IN PROGRESS,RECONCILED,93.000,USD,57835613
103875,r15d00000000219,90.000,,7,IN PROGRESS,RECONCILED,90.000,USD,28497039
103876,r15d00000000224,95.000,,7,IN PROGRESS,RECONCILED,95.000,USD,41552222
103877,r15d00000000223,94.000,,7,IN PROGRESS,RECONCILED,94.000,USD,25085594
103878,r15d00000000226,97.000,,7,IN PROGRESS,RECONCILED,97.000,USD,57996168
103879,r15d00000000204,75.000,,7,IN PROGRESS,RECONCILED,75.000,USD,62599544
103880,r15d00000000231,102.000,,7,IN PROGRESS,RECONCILED,102.000,USD,65775880
103881,r15d00000000205,76.000,,7,IN PROGRESS,RECONCILED,76.000,USD,74446675
103882,r15d00000000210,81.000,,7,IN PROGRESS,RECONCILED,81.000,USD,55603383
103883,r15d00000000234,105.000,,7,IN PROGRESS,RECONCILED,105.000,USD,75032291
103884,r15d00000000209,80.000,,7,IN PROGRESS,RECONCILED,80.000,USD,95581755
103885,r15d00000000213,84.000,,7,IN PROGRESS,RECONCILED,84.000,USD,61747914
103886,r15d00000000233,104.000,,7,IN PROGRESS,RECONCILED,104.000,USD,20422065
103887,r15d00000000217,88.000,,7,IN PROGRESS,RECONCILED,88.000,USD,31571596
103888,r15d00000000239,110.000,,7,IN PROGRESS,RECONCILED,110.000,USD,87283405
103889,r15d00000000215,86.000,,7,IN PROGRESS,RECONCILED,86.000,USD,64129235
103890,r15d00000000221,92.000,,7,IN PROGRESS,RECONCILED,92.000,USD,11258424
103891,r15d00000000225,96.000,,7,IN PROGRESS,RECONCILED,96.000,USD,28753191
103892,r15d00000000236,107.000,,7,IN PROGRESS,RECONCILED,107.000,USD,95819907
103893,r15d00000000241,112.000,,7,IN PROGRESS,RECONCILED,112.000,USD,71379061
103894,r15d00000000242,113.000,,7,IN PROGRESS,RECONCILED,113.000,USD,90086558
103895,r15d00000000227,98.000,,7,IN PROGRESS,RECONCILED,98.000,USD,94254380
103896,r15d00000000243,114.000,,7,IN PROGRESS,RECONCILED,114.000,USD,28352574
103897,r15d00000000245,116.000,,7,IN PROGRESS,RECONCILED,116.000,USD,72551379
103898,r15d00000000249,120.000,,7,IN PROGRESS,RECONCILED,120.000,USD,85085618
103899,r15d00000000230,101.000,,7,IN PROGRESS,RECONCILED,101.000,USD,34112764
103900,r15d00000000220,91.000,,7,IN PROGRESS,RECONCILED,91.000,USD,78809660
103901,r15d00000000251,122.000,,7,IN PROGRESS,RECONCILED,122.000,USD,45007177
103902,r15d00000000235,106.000,,7,IN PROGRESS,RECONCILED,106.000,USD,96403927
103903,r15d00000000228,99.000,,7,IN PROGRESS,RECONCILED,99.000,USD,29255654
103904,r15d00000000238,109.000,,7,IN PROGRESS,RECONCILED,109.000,USD,66461417
103905,r15d00000000252,123.000,,7,IN PROGRESS,RECONCILED,123.000,USD,95031485
103906,r15d00000000256,127.000,,7,IN PROGRESS,RECONCILED,127.000,USD,57669879
103907,r15d00000000255,126.000,,7,IN PROGRESS,RECONCILED,126.000,USD,92562311
103908,r15d00000000244,115.000,,7,IN PROGRESS,RECONCILED,115.000,USD,22838490
103909,r15d00000000247,118.000,,7,IN PROGRESS,RECONCILED,118.000,USD,96814152
103910,r15d00000000258,129.000,,7,IN PROGRESS,RECONCILED,129.000,USD,73326935
103911,r15d00000000257,128.000,,7,IN PROGRESS,RECONCILED,128.000,USD,64212634
103912,r15d00000000250,121.000,,7,IN PROGRESS,RECONCILED,121.000,USD,13822134
103913,r15d00000000261,132.000,,7,IN PROGRESS,RECONCILED,132.000,USD,16457719
103914,r15d00000000229,100.000,,7,IN PROGRESS,RECONCILED,100.000,USD,17406355
103915,r15d00000000232,103.000,,7,IN PROGRESS,RECONCILED,103.000,USD,93434788
103916,r15d00000000237,108.000,,7,IN PROGRESS,RECONCILED,108.000,USD,15064402
103917,r15d00000000263,134.000,,7,IN PROGRESS,RECONCILED,134.000,USD,63449006
103918,r15d00000000254,125.000,,7,IN PROGRESS,RECONCILED,125.000,USD,90734692
103919,r15d00000000269,140.000,,7,IN PROGRESS,RECONCILED,140.000,USD,56740104
103920,r15d00000000270,141.000,,7,IN PROGRESS,RECONCILED,141.000,USD,74474914
103921,r15d00000000259,130.000,,7,IN PROGRESS,RECONCILED,130.000,USD,83497090
103922,r15d00000000264,135.000,,7,IN PROGRESS,RECONCILED,135.000,USD,60171954
103923,r15d00000000273,144.000,,7,IN PROGRESS,RECONCILED,144.000,USD,82683161
103924,r15d00000000240,111.000,,7,IN PROGRESS,RECONCILED,111.000,USD,27616558
103925,r15d00000000274,145.000,,7,IN PROGRESS,RECONCILED,145.000,USD,77124042
103926,r15d00000000275,146.000,,7,IN PROGRESS,RECONCILED,146.000,USD,21191167
103927,r15d00000000246,117.000,,7,IN PROGRESS,RECONCILED,117.000,USD,81855711
103928,r15d00000000265,136.000,,7,IN PROGRESS,RECONCILED,136.000,USD,89396216
103929,r15d00000000248,119.000,,7,IN PROGRESS,RECONCILED,119.000,USD,15256384
103930,r15d00000000271,142.000,,7,IN PROGRESS,RECONCILED,142.000,USD,18376511
103931,r15d00000000279,150.000,,7,IN PROGRESS,RECONCILED,150.000,USD,80107282
103932,r15d00000000280,151.000,,7,IN PROGRESS,RECONCILED,151.000,USD,30505336
103933,r15d00000000253,124.000,,7,IN PROGRESS,RECONCILED,124.000,USD,33450031
103934,r15d00000000276,147.000,,7,IN PROGRESS,RECONCILED,147.000,USD,32186634
103935,r15d00000000282,153.000,,7,IN PROGRESS,RECONCILED,153.000,USD,84022715
103936,r15d00000000260,131.000,,7,IN PROGRESS,RECONCILED,131.000,USD,87381475
103937,r15d00000000283,154.000,,7,IN PROGRESS,RECONCILED,154.000,USD,87966459
103938,r15d00000000277,148.000,,7,IN PROGRESS,RECONCILED,148.000,USD,87988934
103939,r15d00000000262,133.000,,7,IN PROGRESS,RECONCILED,133.000,USD,67652181
103940,r15d00000000284,155.000,,7,IN PROGRESS,RECONCILED,155.000,USD,57061936
103941,r15d00000000285,156.000,,7,IN PROGRESS,RECONCILED,156.000,USD,63902580
103942,r15d00000000286,157.000,,7,IN PROGRESS,RECONCILED,157.000,USD,32476697
103943,r15d00000000289,160.000,,7,IN PROGRESS,RECONCILED,160.000,USD,89999459
103944,r15d00000000266,137.000,,7,IN PROGRESS,RECONCILED,137.000,USD,63537840
103945,r15d00000000288,159.000,,7,IN PROGRESS,RECONCILED,159.000,USD,59283411
103946,r15d00000000290,161.000,,7,IN PROGRESS,RECONCILED,161.000,USD,64997056
103947,r15d00000000293,164.000,,7,IN PROGRESS,RECONCILED,164.000,USD,15638709
103948,r15d00000000292,163.000,,7,IN PROGRESS,RECONCILED,163.000,USD,17139451
103949,r15d00000000268,139.000,,7,IN PROGRESS,RECONCILED,139.000,USD,13747046
103950,r15d00000000272,143.000,,7,IN PROGRESS,RECONCILED,143.000,USD,32807386
103951,r15d00000000278,149.000,,7,IN PROGRESS,RECONCILED,149.000,USD,84561309
103952,r15d00000000295,166.000,,7,IN PROGRESS,RECONCILED,166.000,USD,95540738
103953,r15d00000000297,168.000,,7,IN PROGRESS,RECONCILED,168.000,USD,85982865
103954,r15d00000000299,170.000,,7,IN PROGRESS,RECONCILED,170.000,USD,24675552
103955,r15d00000000300,171.000,,7,IN PROGRESS,RECONCILED,171.000,USD,98227022
103956,r15d00000000281,152.000,,7,IN PROGRESS,RECONCILED,152.000,USD,88833870
103957,r15d00000000301,172.000,,7,IN PROGRESS,RECONCILED,172.000,USD,84282200
103958,r15d00000000298,169.000,,7,IN PROGRESS,RECONCILED,169.000,USD,28721163
103959,r15d00000000267,138.000,,7,IN PROGRESS,RECONCILED,138.000,USD,49364525
103960,r15d00000000302,173.000,,7,IN PROGRESS,RECONCILED,173.000,USD,44477448
103961,r15d00000000287,158.000,,7,IN PROGRESS,RECONCILED,158.000,USD,63353727
103962,r15d00000000305,176.000,,7,IN PROGRESS,RECONCILED,176.000,USD,63007407
103963,r15d00000000304,175.000,,7,IN PROGRESS,RECONCILED,175.000,USD,65021693
103964,r15d00000000291,162.000,,7,IN PROGRESS,RECONCILED,162.000,USD,78781532
103965,r15d00000000306,177.000,,7,IN PROGRESS,RECONCILED,177.000,USD,19360110
103966,r15d00000000309,180.000,,7,IN PROGRESS,RECONCILED,180.000,USD,70883879
103967,r15d00000000310,181.000,,7,IN PROGRESS,RECONCILED,181.000,USD,39692365
103968,r15d00000000296,167.000,,7,IN PROGRESS,RECONCILED,167.000,USD,99001835
103969,r15d00000000308,179.000,,7,IN PROGRESS,RECONCILED,179.000,USD,38687118
103970,r15d00000000317,188.000,,7,IN PROGRESS,RECONCILED,188.000,USD,49850657
103971,r15d00000000314,185.000,,7,IN PROGRESS,RECONCILED,185.000,USD,94703958
103972,r15d00000000312,183.000,,7,IN PROGRESS,RECONCILED,183.000,USD,16194110
103973,r15d00000000294,165.000,,7,IN PROGRESS,RECONCILED,165.000,USD,77646405
103974,r15d00000000315,186.000,,7,IN PROGRESS,RECONCILED,186.000,USD,33590194
103975,r15d00000000321,192.000,,7,IN PROGRESS,RECONCILED,192.000,USD,78238976
103976,r15d00000000318,189.000,,7,IN PROGRESS,RECONCILED,189.000,USD,61185977
103977,r15d00000000316,187.000,,7,IN PROGRESS,RECONCILED,187.000,USD,80412900
103978,r15d00000000303,174.000,,7,IN PROGRESS,RECONCILED,174.000,USD,52433135
103979,r15d00000000307,178.000,,7,IN PROGRESS,RECONCILED,178.000,USD,66101351
103980,r15d00000000326,197.000,,7,IN PROGRESS,RECONCILED,197.000,USD,35348260
103982,r15d00000000320,191.000,,7,IN PROGRESS,RECONCILED,191.000,USD,18761420
103981,r15d00000000322,193.000,,7,IN PROGRESS,RECONCILED,193.000,USD,68961670
103984,r15d00000000311,182.000,,7,IN PROGRESS,RECONCILED,182.000,USD,35870124
103983,r15d00000000324,195.000,,7,IN PROGRESS,RECONCILED,195.000,USD,84561437
103985,r15d00000000331,202.000,,7,IN PROGRESS,RECONCILED,202.000,USD,34839351
103986,r15d00000000325,196.000,,7,IN PROGRESS,RECONCILED,196.000,USD,29647267
103987,r15d00000000313,184.000,,7,IN PROGRESS,RECONCILED,184.000,USD,43975427
103988,r15d00000000328,199.000,,7,IN PROGRESS,RECONCILED,199.000,USD,20923912
103989,r15d00000000329,200.000,,7,IN PROGRESS,RECONCILED,200.000,USD,68967703
103990,r15d00000000333,204.000,,7,IN PROGRESS,RECONCILED,204.000,USD,31993971
103991,r15d00000000332,203.000,,7,IN PROGRESS,RECONCILED,203.000,USD,60901259
103992,r15d00000000319,190.000,,7,IN PROGRESS,RECONCILED,190.000,USD,14275583
103993,r15d00000000335,206.000,,7,IN PROGRESS,RECONCILED,206.000,USD,89635191
103994,r15d00000000336,207.000,,7,IN PROGRESS,RECONCILED,207.000,USD,84231670
103995,r15d00000000323,194.000,,7,IN PROGRESS,RECONCILED,194.000,USD,80681359
103996,r15d00000000337,208.000,,7,IN PROGRESS,RECONCILED,208.000,USD,13937825
103997,r15d00000000339,210.000,,7,IN PROGRESS,RECONCILED,210.000,USD,58093354
103998,r15d00000000338,209.000,,7,IN PROGRESS,RECONCILED,209.000,USD,70600344
103999,r15d00000000327,198.000,,7,IN PROGRESS,RECONCILED,198.000,USD,89919350
104000,r15d00000000343,214.000,,7,IN PROGRESS,RECONCILED,214.000,USD,13029353
104001,r15d00000000330,201.000,,7,IN PROGRESS,RECONCILED,201.000,USD,21388219
104002,r15d00000000348,219.000,,7,IN PROGRESS,RECONCILED,219.000,USD,98825096
104003,r15d00000000344,215.000,,7,IN PROGRESS,RECONCILED,215.000,USD,80597274
104004,r15d00000000334,205.000,,7,IN PROGRESS,RECONCILED,205.000,USD,92513802
104005,r15d00000000350,221.000,,7,IN PROGRESS,RECONCILED,221.000,USD,62998457
104006,r15d00000000346,217.000,,7,IN PROGRESS,RECONCILED,217.000,USD,97513518
104007,r15d00000000341,212.000,,7,IN PROGRESS,RECONCILED,212.000,USD,17600738
104009,r15d00000000354,225.000,,7,IN PROGRESS,RECONCILED,225.000,USD,45783389
104008,r15d00000000340,211.000,,7,IN PROGRESS,RECONCILED,211.000,USD,83256846
104011,r15d00000000353,224.000,,7,IN PROGRESS,RECONCILED,224.000,USD,23593395
104010,r15d00000000347,218.000,,7,IN PROGRESS,RECONCILED,218.000,USD,25028486
104012,r15d00000000356,227.000,,7,IN PROGRESS,RECONCILED,227.000,USD,15352906
104013,r15d00000000349,220.000,,7,IN PROGRESS,RECONCILED,220.000,USD,68792335
104014,r15d00000000359,230.000,,7,IN PROGRESS,RECONCILED,230.000,USD,77515007
104015,r15d00000000351,222.000,,7,IN PROGRESS,RECONCILED,222.000,USD,64666325
104016,r15d00000000342,213.000,,7,IN PROGRESS,RECONCILED,213.000,USD,70703426
104017,r15d00000000357,228.000,,7,IN PROGRESS,RECONCILED,228.000,USD,94193909
104018,r15d00000000365,236.000,,7,IN PROGRESS,RECONCILED,236.000,USD,52424030
104019,r15d00000000345,216.000,,7,IN PROGRESS,RECONCILED,216.000,USD,92104064
104020,r15d00000000361,232.000,,7,IN PROGRESS,RECONCILED,232.000,USD,43876005
104021,r15d00000000352,223.000,,7,IN PROGRESS,RECONCILED,223.000,USD,56765180
104022,r15d00000000355,226.000,,7,IN PROGRESS,RECONCILED,226.000,USD,97710790
104024,r15d00000000362,233.000,,7,IN PROGRESS,RECONCILED,233.000,USD,87583347
104023,r15d00000000363,234.000,,7,IN PROGRESS,RECONCILED,234.000,USD,31129048
104025,r15d00000000370,241.000,,7,IN PROGRESS,RECONCILED,241.000,USD,62777142
104026,r15d00000000368,239.000,,7,IN PROGRESS,RECONCILED,239.000,USD,15998194
